feature_set,model_family,analysis_label,model,cutoff_rule,transfer_strategy,r2_mean,r2_std,r2_count,mape_pct_mean,mape_pct_std,mape_pct_count,rmse_mean,rmse_std,rmse_count,rmse_q3_mean,rmse_q3_std,rmse_q3_count,rmse_q3_iqr2_mean,rmse_q3_iqr2_std,rmse_q3_iqr2_count,r2_mean_sd,mape_pct_mean_sd,rmse_mean_sd,rmse_q3_mean_sd,rmse_q3_iqr2_mean_sd
A_all_21,single,ANN,ANN,,,0.9511032468375389,0.014168222986015692,10,12.408685576491203,1.9026925734328508,10,22535.180056928883,2792.7238899735457,10,36683.00795405816,6181.17957590692,10,44127.65835573785,6870.66414881259,10,0.9511 ± 0.0142,12.41 ± 1.90,22535.18 ± 2792.72,36683.01 ± 6181.18,44127.66 ± 6870.66
A_all_21,single,CatBoost,CatBoost,,,0.8835206581142012,0.061962964410251405,10,14.748889431345594,1.6967104239212742,10,35246.8321348096,12613.844216488389,10,60927.48864266057,26657.80709935034,10,73876.56232740215,32606.841130103327,10,0.8835 ± 0.0620,14.75 ± 1.70,35246.83 ± 12613.84,60927.49 ± 26657.81,73876.56 ± 32606.84
A_all_21,single,Monotonic GBM,Monotonic GBM,,,0.8039737933143221,0.06344832091541072,10,20.957658715070142,4.873241430289345,10,45792.02702778501,11048.116557237325,10,74961.06191183194,23159.14739088514,10,89520.37493044998,28677.37691983188,10,0.8040 ± 0.0634,20.96 ± 4.87,45792.03 ± 11048.12,74961.06 ± 23159.15,89520.37 ± 28677.38
A_all_21,single,XGBoost,XGBoost,,,0.8577213730281933,0.045261275440359024,10,16.24746889050441,1.8878122461293687,10,39241.725631784255,9887.261747337045,10,68316.22987388265,19819.382010782374,10,81946.4041562405,24353.09695723733,10,0.8577 ± 0.0453,16.25 ± 1.89,39241.73 ± 9887.26,68316.23 ± 19819.38,81946.40 ± 24353.10
A_all_21,two_stage_no_tl,Two-stage no TL | Mean,"Two-stage, no transfer",Mean,,0.9340042109932035,0.030685982646528623,10,14.862600350844284,4.604659941524471,10,26106.322149478707,5940.619275196689,10,40102.45460602002,12126.731934434545,10,48188.06002034677,13733.012719212797,10,0.9340 ± 0.0307,14.86 ± 4.60,26106.32 ± 5940.62,40102.45 ± 12126.73,48188.06 ± 13733.01
A_all_21,two_stage_no_tl,Two-stage no TL | Q3,"Two-stage, no transfer",Q3,,0.8825264070253678,0.061689196317598796,10,17.008198844344093,4.978861277470287,10,33697.6224112442,6835.795980494357,10,51312.15419521598,14923.145851359843,10,58528.612582288624,15907.867026992806,10,0.8825 ± 0.0617,17.01 ± 4.98,33697.62 ± 6835.80,51312.15 ± 14923.15,58528.61 ± 15907.87
A_all_21,two_stage_no_tl,Two-stage no TL | Q3+IQR/2,"Two-stage, no transfer",Q3+IQR/2,,0.8527429827555177,0.061840154577847375,10,14.363706116892278,2.185456366760554,10,39835.66595986873,13232.825808558035,10,70192.2358759196,23260.737003551574,10,85475.24338713147,30956.365013418974,10,0.8527 ± 0.0618,14.36 ± 2.19,39835.67 ± 13232.83,70192.24 ± 23260.74,85475.24 ± 30956.37
A_all_21,two_stage_tl_exploratory,Two-stage TL | Mean | Aggressive,"Two-stage, transfer",Mean,Aggressive,0.9247786000915712,0.03424450754849125,10,15.09121978183568,4.304849242482172,10,27440.256815724406,4801.066834640005,10,44652.14503255127,10269.213380800807,10,53071.33607662153,11856.77032859722,10,0.9248 ± 0.0342,15.09 ± 4.30,27440.26 ± 4801.07,44652.15 ± 10269.21,53071.34 ± 11856.77
A_all_21,two_stage_tl_exploratory,Two-stage TL | Mean | Balanced,"Two-stage, transfer",Mean,Balanced,0.9230345139203339,0.03513390469626904,10,15.070841556848148,4.434598218103252,10,27755.611307453404,5082.880264271869,10,45307.54055609772,10783.119790844778,10,54549.1600709729,13003.878527598019,10,0.9230 ± 0.0351,15.07 ± 4.43,27755.61 ± 5082.88,45307.54 ± 10783.12,54549.16 ± 13003.88
A_all_21,two_stage_tl_exploratory,Two-stage TL | Mean | Conservative,"Two-stage, transfer",Mean,Conservative,0.8470866227795547,0.050828175826245284,10,17.766206460915257,4.482956851435778,10,40327.405022657986,9431.561578390862,10,67613.42270372852,20981.899154196562,10,80243.15810492633,26428.328259710437,10,0.8471 ± 0.0508,17.77 ± 4.48,40327.41 ± 9431.56,67613.42 ± 20981.90,80243.16 ± 26428.33
A_all_21,two_stage_tl_exploratory,Two-stage TL | Q3 | Aggressive,"Two-stage, transfer",Q3,Aggressive,0.7338970079199736,0.20004223466514237,10,18.67469175954066,6.0350550692414755,10,48545.38630574565,21362.446257057145,10,81296.87204337583,47142.982694131264,10,96383.02733240354,60500.86284074128,10,0.7339 ± 0.2000,18.67 ± 6.04,48545.39 ± 21362.45,81296.87 ± 47142.98,96383.03 ± 60500.86
A_all_21,two_stage_tl_exploratory,Two-stage TL | Q3 | Balanced,"Two-stage, transfer",Q3,Balanced,0.9290437261734261,0.024350242444185082,10,14.91868350938852,3.830860452756731,10,27158.33122451124,4901.7400802218135,10,43266.34185607921,10189.768190840636,10,50653.83044878867,11808.913717503448,10,0.9290 ± 0.0244,14.92 ± 3.83,27158.33 ± 4901.74,43266.34 ± 10189.77,50653.83 ± 11808.91
A_all_21,two_stage_tl_exploratory,Two-stage TL | Q3 | Conservative,"Two-stage, transfer",Q3,Conservative,0.8761673736351758,0.034259391356846,10,15.845600269710673,3.9270190456598235,10,36265.009336880255,7459.614725483205,10,62191.74356498375,16237.713165513036,10,71819.89869306222,21550.49045508694,10,0.8762 ± 0.0343,15.85 ± 3.93,36265.01 ± 7459.61,62191.74 ± 16237.71,71819.90 ± 21550.49
A_all_21,two_stage_tl_exploratory,Two-stage TL | Q3+IQR/2 | Aggressive,"Two-stage, transfer",Q3+IQR/2,Aggressive,0.8043021292424465,0.12076558067045276,10,15.106031693475737,2.3996460886072604,10,44120.508973809934,15581.106900742749,10,79279.28007132615,31126.356125694114,10,96335.69912113975,40437.00945455714,10,0.8043 ± 0.1208,15.11 ± 2.40,44120.51 ± 15581.11,79279.28 ± 31126.36,96335.70 ± 40437.01
A_all_21,two_stage_tl_exploratory,Two-stage TL | Q3+IQR/2 | Balanced,"Two-stage, transfer",Q3+IQR/2,Balanced,0.9132000046018536,0.03908013664836292,10,13.76672531012662,2.124476387723389,10,29566.86717959088,6468.99585877652,10,51829.154374546546,14003.418674265335,10,61676.28605220463,15622.288777627055,10,0.9132 ± 0.0391,13.77 ± 2.12,29566.87 ± 6469.00,51829.15 ± 14003.42,61676.29 ± 15622.29
A_all_21,two_stage_tl_exploratory,Two-stage TL | Q3+IQR/2 | Conservative,"Two-stage, transfer",Q3+IQR/2,Conservative,0.9077551047632332,0.0232698893658325,10,13.826912303695234,2.416477918526359,10,31531.1153855795,7011.123767862858,10,55745.08771327078,12668.788130172323,10,66822.80384813758,17322.18536428197,10,0.9078 ± 0.0233,13.83 ± 2.42,31531.12 ± 7011.12,55745.09 ± 12668.79,66822.80 ± 17322.19
A_all_21,two_stage_tl_nested_selected,Two-stage TL | training-selected,"Two-stage TL, training-selected",training-selected,training-selected,0.9201464955534954,0.036989356288231835,10,14.812288489628191,4.1262010889285765,10,28235.223926902538,6185.863445013032,10,46984.23952494886,13033.07565964159,10,55808.01937520986,14667.84658043355,10,0.9201 ± 0.0370,14.81 ± 4.13,28235.22 ± 6185.86,46984.24 ± 13033.08,55808.02 ± 14667.85
B_no_component_costs,single,ANN,ANN,,,0.720939196684222,0.19561454760209504,10,31.42278800070332,13.156221346996775,10,52162.710033256175,16372.118224942398,10,80359.3887227865,28246.78372107749,10,96034.7574522352,30985.229424781628,10,0.7209 ± 0.1956,31.42 ± 13.16,52162.71 ± 16372.12,80359.39 ± 28246.78,96034.76 ± 30985.23
B_no_component_costs,single,CatBoost,CatBoost,,,0.8045743350396934,0.0786170675105902,10,27.3056409294457,5.112750458023691,10,46001.72327406429,13346.528371115324,10,77087.33630210398,29851.911320951396,10,93331.34388332322,36040.23434153621,10,0.8046 ± 0.0786,27.31 ± 5.11,46001.72 ± 13346.53,77087.34 ± 29851.91,93331.34 ± 36040.23
B_no_component_costs,single,Monotonic GBM,Monotonic GBM,,,0.7135073419563913,0.08342922278861957,10,34.022218701413536,8.402547807998525,10,55654.860712282105,13112.557956856052,10,88686.57613607179,30897.11159738422,10,106305.30429211678,37629.59626754905,10,0.7135 ± 0.0834,34.02 ± 8.40,55654.86 ± 13112.56,88686.58 ± 30897.11,106305.30 ± 37629.60
B_no_component_costs,single,XGBoost,XGBoost,,,0.787743531620772,0.08199653750046099,10,28.510463393131396,4.861008891727547,10,47353.568553478006,10991.303648050887,10,76579.89766948046,27232.326266482873,10,92015.32507131631,31645.93733836658,10,0.7877 ± 0.0820,28.51 ± 4.86,47353.57 ± 10991.30,76579.90 ± 27232.33,92015.33 ± 31645.94
B_no_component_costs,two_stage_no_tl,Two-stage no TL | Mean,"Two-stage, no transfer",Mean,,0.7253620808278495,0.19281082108272615,10,33.46498215895886,12.825855255183912,10,51370.85640620248,13622.15707022298,10,73376.8764101642,15389.426888444663,10,88446.85810401247,19092.05968656574,10,0.7254 ± 0.1928,33.46 ± 12.83,51370.86 ± 13622.16,73376.88 ± 15389.43,88446.86 ± 19092.06
B_no_component_costs,two_stage_no_tl,Two-stage no TL | Q3,"Two-stage, no transfer",Q3,,0.7031502224950454,0.09085119390036847,10,35.2647864996123,10.770172365935776,10,55583.93024584919,8103.718044418378,10,80368.59266136716,13242.601169812402,10,93489.29068581623,17707.900829921557,10,0.7032 ± 0.0909,35.26 ± 10.77,55583.93 ± 8103.72,80368.59 ± 13242.60,93489.29 ± 17707.90
B_no_component_costs,two_stage_no_tl,Two-stage no TL | Q3+IQR/2,"Two-stage, no transfer",Q3+IQR/2,,0.674607364728261,0.12960424022671183,10,32.85565621242407,11.088034421004185,10,57893.31880761343,9775.022061777825,10,88507.35653829246,16922.50724760624,10,106577.75894400272,24255.15750136488,10,0.6746 ± 0.1296,32.86 ± 11.09,57893.32 ± 9775.02,88507.36 ± 16922.51,106577.76 ± 24255.16
B_no_component_costs,two_stage_tl_exploratory,Two-stage TL | Mean | Aggressive,"Two-stage, transfer",Mean,Aggressive,0.6772848056986143,0.14170067484171656,10,35.528200117439646,11.253473867456917,10,57438.077970844715,13741.637988686372,10,85059.85702324512,25289.386264288092,10,102491.81995626907,30706.11907888181,10,0.6773 ± 0.1417,35.53 ± 11.25,57438.08 ± 13741.64,85059.86 ± 25289.39,102491.82 ± 30706.12
B_no_component_costs,two_stage_tl_exploratory,Two-stage TL | Mean | Balanced,"Two-stage, transfer",Mean,Balanced,0.6902981363108762,0.2302823079981634,10,34.398398719863216,13.276613900919925,10,53912.940368821786,15409.251915763176,10,79983.04666196331,22166.08130771249,10,96231.50415402919,26071.577081087435,10,0.6903 ± 0.2303,34.40 ± 13.28,53912.94 ± 15409.25,79983.05 ± 22166.08,96231.50 ± 26071.58
B_no_component_costs,two_stage_tl_exploratory,Two-stage TL | Mean | Conservative,"Two-stage, transfer",Mean,Conservative,0.6992759302836637,0.10089119305529193,10,32.86648042268256,8.596056601637626,10,56257.833880001854,10071.561392992688,10,88234.1314891669,24060.68631381973,10,106238.24971768796,30983.28768223528,10,0.6993 ± 0.1009,32.87 ± 8.60,56257.83 ± 10071.56,88234.13 ± 24060.69,106238.25 ± 30983.29
B_no_component_costs,two_stage_tl_exploratory,Two-stage TL | Q3 | Aggressive,"Two-stage, transfer",Q3,Aggressive,0.44168959668692515,0.25713789507665247,10,39.40590250877216,16.138313605143782,10,75696.01378543416,19987.84586408533,10,113594.05276097202,34399.36085128366,10,136010.51158934255,50407.95272307203,10,0.4417 ± 0.2571,39.41 ± 16.14,75696.01 ± 19987.85,113594.05 ± 34399.36,136010.51 ± 50407.95
B_no_component_costs,two_stage_tl_exploratory,Two-stage TL | Q3 | Balanced,"Two-stage, transfer",Q3,Balanced,0.6982749356055858,0.16005102620554107,10,34.966092325975396,11.084063760436283,10,54574.60647001263,10116.33099423654,10,81558.20989689202,17447.947896894777,10,92880.16694293656,22810.686463024478,10,0.6983 ± 0.1601,34.97 ± 11.08,54574.61 ± 10116.33,81558.21 ± 17447.95,92880.17 ± 22810.69
B_no_component_costs,two_stage_tl_exploratory,Two-stage TL | Q3 | Conservative,"Two-stage, transfer",Q3,Conservative,0.7381154445732055,0.06093251433993458,10,31.9831094980916,7.693352608553908,10,52790.0941915657,9053.311619664797,10,84500.72036244566,22039.944978179956,10,97460.31200160204,29684.60161397136,10,0.7381 ± 0.0609,31.98 ± 7.69,52790.09 ± 9053.31,84500.72 ± 22039.94,97460.31 ± 29684.60
B_no_component_costs,two_stage_tl_exploratory,Two-stage TL | Q3+IQR/2 | Aggressive,"Two-stage, transfer",Q3+IQR/2,Aggressive,0.47850667428949156,0.4074971972878288,10,32.75252560652261,11.445350009713993,10,69925.79217634267,19754.831788105177,10,121592.68170326704,32313.759235895897,10,145911.84515375798,41956.924466931036,10,0.4785 ± 0.4075,32.75 ± 11.45,69925.79 ± 19754.83,121592.68 ± 32313.76,145911.85 ± 41956.92
B_no_component_costs,two_stage_tl_exploratory,Two-stage TL | Q3+IQR/2 | Balanced,"Two-stage, transfer",Q3+IQR/2,Balanced,0.7000802795974465,0.12261609073138564,10,31.790472941934603,10.71891178320554,10,55706.588026473975,12253.769534406512,10,89254.2775463598,18320.09813973446,10,107549.52753128523,20136.49988583893,10,0.7001 ± 0.1226,31.79 ± 10.72,55706.59 ± 12253.77,89254.28 ± 18320.10,107549.53 ± 20136.50
B_no_component_costs,two_stage_tl_exploratory,Two-stage TL | Q3+IQR/2 | Conservative,"Two-stage, transfer",Q3+IQR/2,Conservative,0.7256344174299383,0.12309070439861391,10,30.395928930159926,8.142142046092804,10,52910.92983779224,10149.09094117439,10,86355.02587303614,20053.894700098033,10,102562.99970058023,26359.4982502902,10,0.7256 ± 0.1231,30.40 ± 8.14,52910.93 ± 10149.09,86355.03 ± 20053.89,102563.00 ± 26359.50
B_no_component_costs,two_stage_tl_nested_selected,Two-stage TL | training-selected,"Two-stage TL, training-selected",training-selected,training-selected,0.7390340822371833,0.13939597474796192,10,32.58143855935408,9.296036339909712,10,51186.06597123049,10046.775782802128,10,76540.73858882874,18325.849014242576,10,90026.60058046614,23510.443660617042,10,0.7390 ± 0.1394,32.58 ± 9.30,51186.07 ± 10046.78,76540.74 ± 18325.85,90026.60 ± 23510.44
C_physical_quantity,single,ANN,ANN,,,0.7961631910530383,0.06682400290992867,10,28.308024728293173,5.234422039426247,10,46628.99168659824,10829.680896597325,10,76461.80386178379,21164.709871791034,10,92549.75385661621,25301.671917154697,10,0.7962 ± 0.0668,28.31 ± 5.23,46628.99 ± 10829.68,76461.80 ± 21164.71,92549.75 ± 25301.67
C_physical_quantity,single,CatBoost,CatBoost,,,0.8080348932450697,0.08379848927854038,10,27.053090067776985,4.493124112169355,10,45513.98279456763,13959.331649939233,10,75536.80422079036,31060.120612269857,10,91446.80733702722,37851.16868934993,10,0.8080 ± 0.0838,27.05 ± 4.49,45513.98 ± 13959.33,75536.80 ± 31060.12,91446.81 ± 37851.17
C_physical_quantity,single,Monotonic GBM,Monotonic GBM,,,0.7270453493598396,0.09771766075336769,10,33.586924770766316,8.83607436696465,10,54089.26328612872,14290.811415053835,10,84695.79822976694,33112.324149860724,10,100735.18000518843,40578.838760286126,10,0.7270 ± 0.0977,33.59 ± 8.84,54089.26 ± 14290.81,84695.80 ± 33112.32,100735.18 ± 40578.84
C_physical_quantity,single,XGBoost,XGBoost,,,0.8005934206175824,0.10165891700109918,10,27.964194819036017,6.600207568670453,10,45648.84976910634,13550.32916339511,10,73869.61500256324,31755.820884164183,10,87865.1507703965,36784.46606407084,10,0.8006 ± 0.1017,27.96 ± 6.60,45648.85 ± 13550.33,73869.62 ± 31755.82,87865.15 ± 36784.47
C_physical_quantity,two_stage_no_tl,Two-stage no TL | Mean,"Two-stage, no transfer",Mean,,0.7198488821405047,0.1815486118370355,10,34.45522573143199,13.418342539729027,10,51504.50189652406,11462.321119290236,10,68545.54551458576,13036.59398846099,10,81775.4043362523,15251.398621170301,10,0.7198 ± 0.1815,34.46 ± 13.42,51504.50 ± 11462.32,68545.55 ± 13036.59,81775.40 ± 15251.40
C_physical_quantity,two_stage_no_tl,Two-stage no TL | Q3,"Two-stage, no transfer",Q3,,0.6325862266085159,0.13896543002301726,10,35.991073408412475,13.447476592687957,10,61090.58724759868,8087.890931234361,10,83261.41077829056,19158.673727779315,10,96832.79519784762,25749.558126010925,10,0.6326 ± 0.1390,35.99 ± 13.45,61090.59 ± 8087.89,83261.41 ± 19158.67,96832.80 ± 25749.56
C_physical_quantity,two_stage_no_tl,Two-stage no TL | Q3+IQR/2,"Two-stage, no transfer",Q3+IQR/2,,0.7255258230660904,0.07146274738901368,10,29.0549040695106,8.28750704331281,10,54085.816980105985,10644.334982873717,10,88902.86453115179,14586.616735134261,10,107661.52868211766,20742.853470461658,10,0.7255 ± 0.0715,29.05 ± 8.29,54085.82 ± 10644.33,88902.86 ± 14586.62,107661.53 ± 20742.85
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Mean | Aggressive,"Two-stage, transfer",Mean,Aggressive,0.6592914617153058,0.14114942853459603,10,36.189700906625035,13.253556163108135,10,59258.24642388137,14617.704360804073,10,82897.65918273524,30737.58770785548,10,98721.66558020737,38633.02337968255,10,0.6593 ± 0.1411,36.19 ± 13.25,59258.25 ± 14617.70,82897.66 ± 30737.59,98721.67 ± 38633.02
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Mean | Balanced,"Two-stage, transfer",Mean,Balanced,0.7567158132696317,0.0687900980808447,10,30.432307418042075,7.672349795885609,10,50627.58506403881,8311.750784811404,10,81568.89451075478,17456.55595304028,10,98324.66246151722,20556.49237396008,10,0.7567 ± 0.0688,30.43 ± 7.67,50627.59 ± 8311.75,81568.89 ± 17456.56,98324.66 ± 20556.49
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Mean | Conservative,"Two-stage, transfer",Mean,Conservative,0.6733612281965681,0.07477818190852635,10,33.473458389981445,8.160172331194072,10,59420.10637842411,12488.910558517091,10,92503.69874470642,30380.275741025747,10,109585.35325882558,39385.66972512574,10,0.6734 ± 0.0748,33.47 ± 8.16,59420.11 ± 12488.91,92503.70 ± 30380.28,109585.35 ± 39385.67
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Q3 | Aggressive,"Two-stage, transfer",Q3,Aggressive,0.427769663562254,0.34610861962985917,10,36.241406061930924,15.081871795633909,10,75471.93935076956,24831.354467147907,10,124208.49461641167,42239.832281832125,10,151135.44034569783,52264.93470231369,10,0.4278 ± 0.3461,36.24 ± 15.08,75471.94 ± 24831.35,124208.49 ± 42239.83,151135.44 ± 52264.93
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Q3 | Balanced,"Two-stage, transfer",Q3,Balanced,0.6740154033956889,0.1596267970497667,10,34.33909962210812,12.603488597594017,10,56796.66761844233,9907.387421045889,10,82070.88671824663,20612.115996515397,10,93242.96635093215,27281.71553813329,10,0.6740 ± 0.1596,34.34 ± 12.60,56796.67 ± 9907.39,82070.89 ± 20612.12,93242.97 ± 27281.72
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Q3 | Conservative,"Two-stage, transfer",Q3,Conservative,0.7261416437169734,0.08512976510585672,10,30.296459814975513,8.455292514735408,10,53444.838788282555,7980.710863209972,10,85555.4307382082,21737.79787057538,10,99107.9389348986,29287.634973274005,10,0.7261 ± 0.0851,30.30 ± 8.46,53444.84 ± 7980.71,85555.43 ± 21737.80,99107.94 ± 29287.63
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Q3+IQR/2 | Aggressive,"Two-stage, transfer",Q3+IQR/2,Aggressive,0.5730297334879155,0.1968843139760091,10,29.79243586877958,6.79616497064319,10,66573.53263606525,21270.395374307856,10,118610.78454807124,40696.942854892724,10,143553.92387818065,55147.80757036116,10,0.5730 ± 0.1969,29.79 ± 6.80,66573.53 ± 21270.40,118610.78 ± 40696.94,143553.92 ± 55147.81
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Q3+IQR/2 | Balanced,"Two-stage, transfer",Q3+IQR/2,Balanced,0.7393420484670497,0.10207178606177351,10,28.7993461857724,8.216871347935731,10,51958.67290318454,12717.290094306536,10,88924.65547932926,21597.40516758547,10,107157.24483434041,27145.56266375249,10,0.7393 ± 0.1021,28.80 ± 8.22,51958.67 ± 12717.29,88924.66 ± 21597.41,107157.24 ± 27145.56
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Q3+IQR/2 | Conservative,"Two-stage, transfer",Q3+IQR/2,Conservative,0.7724375041570676,0.07442979915413649,10,27.649430503215484,6.011322664748328,10,49044.222775025584,11545.734225311773,10,83826.56545622359,20982.638541865173,10,99942.88810563409,26531.781715219196,10,0.7724 ± 0.0744,27.65 ± 6.01,49044.22 ± 11545.73,83826.57 ± 20982.64,99942.89 ± 26531.78
C_physical_quantity,two_stage_tl_nested_selected,Two-stage TL | training-selected,"Two-stage TL, training-selected",training-selected,training-selected,0.7183437603595896,0.15502272935914635,10,31.140302591075073,9.504712672648546,10,52853.82479307575,9521.683058375134,10,82918.04925325829,17575.581596092143,10,97296.34655137287,22137.898254734708,10,0.7183 ± 0.1550,31.14 ± 9.50,52853.82 ± 9521.68,82918.05 ± 17575.58,97296.35 ± 22137.90
