"Task","ExitCode","ElapsedMinutes","Stdout","Stderr"
"A_all_21_seed42","0","14.29","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"A_all_21_seed43","0","12.58","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"A_all_21_seed44","0","14.29","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"A_all_21_seed45","0","14.16","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"A_all_21_seed46","0","12.36","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"A_all_21_seed47","0","14.54","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"A_all_21_seed48","0","15.78","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"A_all_21_seed49","0","15.84","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"A_all_21_seed50","0","14.8","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"A_all_21_seed51","0","13.93","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"B_no_component_costs_seed42","0","13.22","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"B_no_component_costs_seed43","0","12.02","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"B_no_component_costs_seed44","0","15.5","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"B_no_component_costs_seed45","0","14.36","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"B_no_component_costs_seed46","0","13.32","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"B_no_component_costs_seed47","0","14.16","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"B_no_component_costs_seed48","0","15.46","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"B_no_component_costs_seed49","0","15.56","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"B_no_component_costs_seed50","0","13.42","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"B_no_component_costs_seed51","0","12.58","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"C_physical_quantity_seed42","0","13.62","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"C_physical_quantity_seed43","0","13.35","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"C_physical_quantity_seed44","0","14.35","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"C_physical_quantity_seed45","0","13.22","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"C_physical_quantity_seed46","0","12.38","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"C_physical_quantity_seed47","0","13.48","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"C_physical_quantity_seed48","0","13.89","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"C_physical_quantity_seed49","0","14.99","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"C_physical_quantity_seed50","0","11.91","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
"C_physical_quantity_seed51","0","11.44","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log","C:\Users\nhkwo\Documents\GitHub\Paper-summary-faculty\results\corrected_analysis_20260717\orchestrator_logs\orchestrator.transcript.log"
